track_name,artist_name,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,liveness,valence,tempo,duration_ms,time_signature
Blondie,Current Joys,lo-fi indie,0.776,0.626,6.0,-12.561,1.0,0.0396,0.622,0.086,0.866,122.072,194733.0,6.0
Blood,Chrome Sparks,chillwave,0.593,0.529,1.0,-6.694,0.0,0.0313,0.435,0.129,0.682,89.915,161240.0,1.0
Blood (with Foy Vance),ILLENIUM,edm,0.358,0.896,4.0,-4.547,0.0,0.159,0.083,0.372,0.1,75.192,248000.0,4.0
Blood Stain Cypher,Lund,cloud rap,0.584,0.783,10.0,-8.644,0.0,0.0402,0.00627,0.0504,0.187,141.972,233239.0,10.0
Bloodhound,Skott,indie electropop,0.607,0.586,6.0,-8.658,0.0,0.0406,0.516,0.336,0.394,145.824,178147.0,6.0
Bloom,Aether,chillstep,0.662,0.156,8.0,-24.402,0.0,0.047,0.776,0.0773,0.107,130.031,273231.0,8.0
Bloom,ODESZA,chillwave,0.555,0.585,2.0,-6.672,1.0,0.0272,0.0149,0.0707,0.0803,130.004,195692.0,2.0
Bloom,SPEECHLESS,japanese chillhop,0.662,0.206,11.0,-14.994,0.0,0.0473,0.95,0.102,0.278,123.934,155716.0,11.0
Bloom,The Winking Owl,anime rock,0.507,0.975,1.0,-2.973,1.0,0.154,0.00168,0.397,0.338,98.01,230680.0,1.0
Blue,Madison Beer,pop,0.64,0.501,7.0,-7.86,1.0,0.0624,0.15,0.16,0.346,114.031,229882.0,7.0
Blue,The Neighbourhood,modern alternative rock,0.56,0.598,5.0,-8.386,0.0,0.0388,0.524,0.172,0.388,82.991,190133.0,5.0
Blue (Da Ba Dee) - Gabry Ponte Ice Pop Radio,Eiffel 65,eurodance,0.822,0.969,7.0,-11.471,0.0,0.0582,0.259,0.39,0.765,128.007,283748.0,7.0
Blue Bird (Naruto),Kato,anime lo-fi,0.615,0.294,6.0,-14.34,0.0,0.0275,0.829,0.112,0.167,81.97,111263.0,6.0
Blue Bird Piano,Kato,anime lo-fi,0.313,0.0211,6.0,-28.785,0.0,0.0602,0.996,0.0879,0.369,68.13,84500.0,6.0
Blue Boi,LAKEY INSPIRED,chillhop,0.807,0.229,10.0,-12.842,1.0,0.0647,0.739,0.0663,0.348,139.967,105613.0,10.0
Blue Eyes,Yo Yo Honey Singh,filmi,0.77,0.51,10.0,-5.469,0.0,0.192,0.137,0.0346,0.533,188.067,220944.0,10.0
Blue Racecar,Sassy 009,electra,0.558,0.816,5.0,-8.321,0.0,0.0405,0.033,0.271,0.545,82.515,212333.0,5.0
Blueberry Eyes (feat. SUGA of BTS),MAX,viral pop,0.746,0.611,0.0,-7.034,0.0,0.101,0.454,0.133,0.411,149.967,172245.0,0.0
Blueberry Faygo,Lil Mosey,melodic rap,0.774,0.554,0.0,-7.909,1.0,0.0383,0.207,0.132,0.349,99.034,162547.0,0.0
Bluebird,Luca Fogale,modern indie folk,0.482,0.224,11.0,-14.286,0.0,0.04,0.907,0.103,0.147,150.376,292787.0,11.0
Blur,LXST CXNTURY,chill phonk,0.697,0.861,1.0,-5.849,1.0,0.0415,0.00385,0.115,0.263,139.948,214304.0,1.0
Blur,Stellar,social media pop,0.834,0.6,5.0,-5.433,1.0,0.0313,0.245,0.0694,0.694,125.954,131429.0,5.0
Blurry,Puddle Of Mudd,alternative metal,0.431,0.938,3.0,-4.507,0.0,0.0542,0.00805,0.138,0.523,157.462,304000.0,3.0
Body,Julia Michaels,pop,0.54,0.409,8.0,-6.658,1.0,0.0284,0.781,0.104,0.197,95.177,180293.0,8.0
Body Bag (w/ Ethan Tasch),Peter Fenn,la pop,0.73,0.468,3.0,-8.698,1.0,0.0759,0.376,0.35,0.652,91.942,141094.0,3.0
