track_name,artist_name,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,liveness,valence,tempo,duration_ms,time_signature
"""In The Hall Of The Mountain King"" from Peer Gynt Suite N°1, Op. 46",London Symphony Orchestra,british orchestra,0.475,0.13,7.0,-17.719,1.0,0.051,0.916,0.101,0.122,112.241,150827.0,7.0
#BrooklynBloodPop!,SyKo,glitchcore,0.691,0.814,1.0,-3.788,0.0,0.117,0.0164,0.366,0.509,132.012,145611.0,1.0
$10,Good Morning,experimental pop,0.624,0.596,4.0,-9.804,1.0,0.0314,0.475,0.119,0.896,120.969,89509.0,4.0
(I Just) Died In Your Arms,Cutting Crew,album rock,0.625,0.726,11.0,-11.402,0.0,0.0444,0.0158,0.0625,0.507,124.945,280400.0,11.0
(L)only Child,salem ilese,alt z,0.645,0.611,8.0,-5.925,0.0,0.137,0.29,0.237,0.645,157.475,144468.0,8.0
(lol),Eren Cannata,guitar case,0.663,0.904,7.0,-4.71,1.0,0.0857,0.000708,0.341,0.675,118.024,217627.0,7.0
"...And to Those I Love, Thanks for Sticking Around",$uicideboy$,cloud rap,0.792,0.511,2.0,-6.876,1.0,0.0409,0.124,0.14,0.111,113.983,168490.0,2.0
...Baby One More Time,Britney Spears,dance pop,0.759,0.699,0.0,-5.745,0.0,0.0307,0.202,0.443,0.907,92.96,211067.0,0.0
0 to 100,Sidhu Moose Wala,desi hip hop,0.742,0.675,8.0,-6.551,1.0,0.0907,0.139,0.167,0.679,145.989,108493.0,8.0
01:22,colours in the dark,lo-fi sleep,0.62,0.122,2.0,-19.47,0.0,0.0428,0.967,0.0726,0.0502,72.019,129160.0,2.0
"10,000 Hours (with Justin Bieber)",Dan + Shay,contemporary country,0.654,0.63,10.0,-4.644,1.0,0.0259,0.153,0.111,0.43,89.991,167693.0,10.0
11:23,mj apanay,bedroom r&b,0.611,0.256,8.0,-11.29,1.0,0.0733,0.899,0.125,0.585,123.535,58018.0,8.0
12 Hours,Chris James,singer-songwriter pop,0.83,0.414,3.0,-7.387,1.0,0.148,0.497,0.187,0.797,87.99,133125.0,3.0
12:45 - Stripped,Etham,singer-songwriter pop,0.459,0.214,5.0,-10.66,1.0,0.0403,0.634,0.125,0.397,163.816,179013.0,5.0
13 Missed Calls,Zach Hood,alt z,0.639,0.724,7.0,-6.346,1.0,0.0664,0.452,0.159,0.522,129.712,209538.0,7.0
143,Josh Golden,la pop,0.652,0.713,6.0,-8.331,0.0,0.105,0.413,0.265,0.692,156.031,187885.0,6.0
17 (slowed + reverb),Shiloh Dynasty,lo-fi chill,0.78,0.24,11.0,-12.996,1.0,0.0711,0.373,0.452,0.171,140.502,209493.0,11.0
18,Jeremy Zucker,alt z,0.783,0.599,4.0,-5.688,1.0,0.0441,0.0445,0.108,0.611,113.97,150773.0,4.0
1917,Thomas Newman,orchestral soundtrack,0.0814,0.0155,7.0,-33.085,0.0,0.044,0.945,0.0923,0.0899,171.075,77413.0,7.0
1984,glaive,glitchcore,0.665,0.746,9.0,-2.98,1.0,0.044,0.0125,0.148,0.426,134.999,150222.0,9.0
1985,Bo Burnham,comic,0.646,0.724,4.0,-7.466,0.0,0.0475,0.0432,0.333,0.894,155.85,146654.0,4.0
1Stp Klosr (The Humble Brothers Reanimation) [feat. Jonathan Davis],Linkin Park,alternative metal,0.471,0.927,1.0,-5.76,1.0,0.0495,0.00272,0.115,0.232,96.149,346040.0,1.0
2009,glaive,glitchcore,0.473,0.849,5.0,-2.434,0.0,0.052,0.26,0.103,0.61,79.538,110339.0,5.0
2019,Bazanji,deep underground hip hop,0.596,0.881,11.0,-5.228,0.0,0.119,0.153,0.16,0.302,147.038,112245.0,11.0
2021,Lauv,pop,0.849,0.489,0.0,-7.433,1.0,0.0509,0.683,0.108,0.345,113.977,195952.0,0.0
2055,Sleepy Hallow,brooklyn drill,0.829,0.512,6.0,-5.865,0.0,0.187,0.492,0.12,0.638,80.511,123987.0,6.0
"21 Hungarian Dances, WoO 1 (version for orchestra): Hungarian Dance No. 5 (orch. Schmeling)",Johannes Brahms,classical,0.32,0.127,7.0,-15.953,0.0,0.0366,0.929,0.25,0.272,144.451,135773.0,7.0
"21 Hungarian Dances, WoO 1: Hungarian Dance No. 5 in F-Sharp Minor",Seattle Symphony Orchestra,american orchestra,0.227,0.0666,7.0,-21.772,0.0,0.0403,0.831,0.083,0.256,82.568,173853.0,7.0
"21 Hungarian Dances, WoO 1: No. 5 in G Minor: Allegro",Johannes Brahms,classical,0.358,0.167,7.0,-16.0,0.0,0.0354,0.899,0.103,0.601,144.561,138707.0,7.0
22,Taylor Swift,pop,0.642,0.695,7.0,-5.62,1.0,0.0281,0.000443,0.0753,0.642,103.984,230960.0,7.0
24 Hours,Alexander Stewart,singer-songwriter pop,0.512,0.748,10.0,-7.338,1.0,0.0376,0.0908,0.204,0.338,143.999,198333.0,10.0
24/7,The Neighbourhood,modern alternative rock,0.587,0.744,7.0,-4.611,0.0,0.0742,0.00213,0.114,0.236,118.962,219973.0,7.0
26,Lauv,pop,0.643,0.458,6.0,-8.636,1.0,0.0875,0.809,0.237,0.506,164.16,159608.0,6.0
27,Loving Caliber,scandipop,0.612,0.362,0.0,-7.85,1.0,0.0307,0.686,0.111,0.459,140.043,211361.0,0.0
27 Reasons,WILLIS,alabama indie,0.522,0.624,11.0,-8.359,0.0,0.0323,0.157,0.253,0.352,130.477,208760.0,11.0
29,Chris James,singer-songwriter pop,0.777,0.597,4.0,-5.125,1.0,0.0496,0.51,0.107,0.9,133.854,138281.0,4.0
29,Run River North,stomp and holler,0.439,0.903,7.0,-4.655,0.0,0.0692,0.000268,0.249,0.275,156.974,207120.0,7.0
2AM,SZA,pop,0.504,0.267,9.0,-13.678,0.0,0.406,0.438,0.141,0.392,83.966,242823.0,9.0
2chijou,Hiroyuki Sawano,anime score,0.479,0.476,5.0,-12.218,1.0,0.0511,0.134,0.094,0.274,120.099,407573.0,5.0
2step,Ed Sheeran,pop,0.763,0.661,4.0,-5.592,0.0,0.056,0.169,0.117,0.632,95.002,153627.0,4.0
2step (feat. Armaan Malik),Ed Sheeran,pop,0.747,0.667,4.0,-5.181,0.0,0.0566,0.18,0.146,0.508,95.0,153124.0,4.0
2step (feat. Lil Baby),Ed Sheeran,pop,0.693,0.643,4.0,-5.867,0.0,0.0828,0.138,0.108,0.477,95.055,163450.0,4.0
2z Don Corleon,Lil 2z,dfw rap,0.847,0.444,8.0,-10.167,0.0,0.492,0.336,0.0996,0.667,115.042,117943.0,8.0
3 Peg,Sharry Mann,punjabi pop,0.69,0.926,0.0,-0.223,0.0,0.253,0.14,0.112,0.791,167.927,204396.0,0.0
"3,000 Miles From Home.",Ben Zaidi,folk-pop,0.713,0.418,2.0,-9.035,1.0,0.0519,0.5,0.119,0.527,84.041,158507.0,2.0
"30,000 Feet",Ben Rector,acoustic pop,0.555,0.452,0.0,-9.636,1.0,0.0554,0.694,0.0595,0.321,179.921,256933.0,0.0
3005,Childish Gambino,atl hip hop,0.664,0.447,6.0,-7.272,0.0,0.289,0.112,0.091,0.659,83.138,234215.0,6.0
3:15,Bazzi,pop,0.651,0.654,1.0,-5.481,1.0,0.0466,0.385,0.181,0.539,141.975,167019.0,1.0
4am,girl in red,alt z,0.418,0.392,9.0,-13.771,1.0,0.0383,0.663,0.204,0.295,168.902,110862.0,9.0
4u,blackbear,pop,0.776,0.513,5.0,-6.757,1.0,0.0872,0.392,0.0642,0.813,153.934,158571.0,5.0
5 Taara,Diljit Dosanjh,filmi,0.687,0.855,4.0,-2.837,0.0,0.109,0.13,0.311,0.659,167.947,178421.0,4.0
5 dollars,Christine and the Queens,art pop,0.726,0.654,2.0,-6.201,1.0,0.0423,0.424,0.0668,0.624,129.013,208293.0,2.0
52-Hearts,Hikaru Station,japanese vgm,0.285,0.803,1.0,-6.128,1.0,0.158,0.714,0.0495,0.182,95.806,316800.0,1.0
5am in cairo,"oh, the joy.",sleep,0.751,0.193,3.0,-15.902,1.0,0.0449,0.936,0.11,0.219,113.987,177288.0,3.0
6 Underground,Sneaker Pimps,electronica,0.587,0.687,1.0,-8.635,0.0,0.0509,0.0281,0.121,0.402,169.938,228840.0,1.0
608,Carlie Hanson,alt z,0.614,0.511,11.0,-8.758,0.0,0.0294,0.673,0.339,0.486,148.024,204760.0,11.0
6AM,Fly By Midnight,singer-songwriter pop,0.637,0.885,5.0,-4.522,1.0,0.0274,0.0318,0.107,0.613,127.027,190912.0,5.0
7 Minutes,Dean Lewis,australian pop,0.613,0.739,10.0,-6.478,1.0,0.0311,0.526,0.149,0.712,104.966,211453.0,10.0
7 Years,Lukas Graham,danish pop,0.765,0.473,10.0,-5.829,1.0,0.0514,0.287,0.391,0.34,119.992,237300.0,10.0
772 Love,YNW Melly,melodic rap,0.676,0.623,6.0,-7.297,0.0,0.0352,0.226,0.159,0.347,111.466,209489.0,6.0
7UP,Boy In Space,alt z,0.618,0.47,0.0,-7.379,1.0,0.0271,0.0169,0.111,0.228,135.034,203555.0,0.0
8 Letters,Why Don't We,boy band,0.607,0.478,1.0,-5.702,0.0,0.031,0.649,0.0928,0.255,88.979,190027.0,1.0
85%,Loote,alt z,0.574,0.651,7.0,-7.585,1.0,0.046,0.346,0.149,0.368,140.017,174107.0,7.0
9 to 5,Young Ejecta,solipsynthm,0.659,0.834,8.0,-5.715,1.0,0.0387,0.232,0.236,0.607,116.048,219258.0,8.0
90210 (feat. G-Eazy),blackbear,pop,0.707,0.707,11.0,-6.161,0.0,0.0375,0.0306,0.127,0.231,104.039,223296.0,11.0
911,Ellise,alt z,0.765,0.53,10.0,-7.18,0.0,0.0833,0.509,0.117,0.529,130.104,188387.0,10.0
:( (sad face),Bahari,alt z,0.661,0.552,8.0,-8.015,0.0,0.0278,0.242,0.0953,0.408,110.072,188182.0,8.0
@ my worst,blackbear,pop,0.615,0.774,4.0,-5.152,0.0,0.0551,0.0173,0.15,0.336,136.887,191364.0,4.0
A Better Place,Project AER,ambient guitar,0.496,0.255,9.0,-17.984,1.0,0.0283,0.937,0.0909,0.0809,141.961,120000.0,9.0
A Dangerous Thing,AURORA,art pop,0.541,0.556,11.0,-6.15,0.0,0.0356,0.465,0.116,0.106,105.886,215573.0,11.0
A Different Way (with Lauv),DJ Snake,edm,0.784,0.757,8.0,-3.912,1.0,0.0384,0.495,0.142,0.587,104.996,198286.0,8.0
A Drug From God,Chris Lake,bass house,0.714,0.883,9.0,-4.43,1.0,0.0625,0.00819,0.231,0.819,126.016,192455.0,9.0
A Gift Of A Thistle,James Horner,orchestral soundtrack,0.0828,0.012,9.0,-36.045,0.0,0.0451,0.9,0.0875,0.0578,169.895,97667.0,9.0
A Little Bit Yours,JP Saxe,alt z,0.598,0.295,1.0,-8.553,1.0,0.0276,0.735,0.107,0.314,87.025,225680.0,1.0
A Little More,Catie Turner,alt z,0.792,0.484,4.0,-9.897,1.0,0.192,0.477,0.106,0.245,96.939,224528.0,4.0
A Little Piece of Heaven,Avenged Sevenfold,alternative metal,0.486,0.881,2.0,-5.623,0.0,0.0474,0.0244,0.429,0.667,144.997,480707.0,2.0
A Million Dreams,Ziv Zaifman,show tunes,0.265,0.312,7.0,-11.689,1.0,0.0569,0.243,0.0893,0.0998,54.747,269453.0,7.0
A Million Dreams (Reprise),Austyn Johnson,show tunes,0.253,0.139,6.0,-17.067,1.0,0.0414,0.726,0.269,0.102,74.369,60453.0,6.0
A Moment Apart,ODESZA,chillwave,0.515,0.663,7.0,-7.896,0.0,0.0328,0.179,0.494,0.0756,120.024,234244.0,7.0
A New Beginning,Yasumu,lo-fi study,0.695,0.287,0.0,-14.608,1.0,0.0499,0.771,0.362,0.379,128.028,143379.0,0.0
A Night to Remember,High School Musical Cast,post-teen pop,0.798,0.904,0.0,-3.316,0.0,0.0476,0.0747,0.0522,0.966,135.008,236400.0,0.0
A Night to Remember - Original Version,High School Musical Cast,post-teen pop,0.798,0.904,0.0,-3.316,0.0,0.0476,0.0747,0.0522,0.966,135.008,236400.0,0.0
A Place Among the Stars,Hans Zimmer,german soundtrack,0.171,0.0325,4.0,-25.382,0.0,0.043,0.97,0.0756,0.0284,70.821,207118.0,4.0
A Sky Full of Stars,Taron Egerton,hollywood,0.44,0.676,6.0,-7.57,1.0,0.0582,0.152,0.108,0.429,125.013,206438.0,6.0
A Soulmate Who Wasn’t Meant to Be,Jess Benko,gen z singer-songwriter,0.571,0.0274,9.0,-20.274,0.0,0.0649,0.948,0.322,0.087,124.209,316556.0,9.0
A wild river to take you home,Black Hill,instrumental post-rock,0.458,0.361,6.0,-12.066,0.0,0.0353,0.825,0.103,0.231,86.966,229536.0,6.0
A+E (feat. Kandaka Moore & Nikki Cislyn),Clean Bandit,pop,0.808,0.519,5.0,-8.268,0.0,0.0403,0.00623,0.119,0.384,114.977,246584.0,5.0
A-Punk,Vampire Weekend,baroque pop,0.551,0.819,2.0,-4.489,1.0,0.0525,0.0103,0.153,0.846,174.917,137760.0,2.0
AGEN WIDA,JOYRYDE,bass house,0.784,0.913,1.0,-1.208,1.0,0.177,0.0114,0.0831,0.59,126.054,199048.0,1.0
ALIEN SUPERSTAR,Beyoncé,pop,0.545,0.641,10.0,-6.398,0.0,0.0998,0.00453,0.171,0.464,121.892,215460.0,10.0
ALL MINE,Brent Faiyaz,r&b,0.617,0.378,9.0,-8.54,1.0,0.0315,0.428,0.11,0.22,141.967,216063.0,9.0
ALLERGIC,clide,singer-songwriter pop,0.609,0.428,11.0,-7.796,1.0,0.0244,0.538,0.064,0.627,96.071,155200.0,11.0
AMAZING,Rex Orange County,bedroom pop,0.719,0.461,8.0,-8.191,1.0,0.0454,0.279,0.0875,0.548,123.915,209200.0,8.0
AMNESIA (feat. Boy In Space),DREAMDNVR,dark r&b,0.708,0.42,9.0,-9.478,0.0,0.121,0.471,0.353,0.317,145.981,175827.0,9.0
ANGOSTURA,keshi,chill r&b,0.536,0.659,6.0,-9.732,1.0,0.0483,0.406,0.107,0.199,170.035,171020.0,6.0
ANKLES,Jessie Reyez,canadian contemporary r&b,0.514,0.749,8.0,-4.336,1.0,0.403,0.234,0.19,0.416,179.623,169240.0,8.0
ANUBIS,KUTE,aggressive phonk,0.627,0.993,1.0,-1.304,1.0,0.0714,0.00142,0.239,0.58,109.975,131455.0,1.0
AVOID ME,KUTE,aggressive phonk,0.656,0.964,6.0,-2.087,0.0,0.0964,0.123,0.78,0.965,114.007,105789.0,6.0
AVOID ME 3,KUTE,aggressive phonk,0.706,0.933,10.0,-0.096,1.0,0.0721,0.11,0.058,0.761,114.042,120000.0,10.0
Aaftaab,The Local Train,hindi indie,0.464,0.391,6.0,-9.884,1.0,0.0384,0.755,0.105,0.418,106.887,233472.0,6.0
Aag Lage Chahe Basti Mai,Sirazee,himachali pop,0.613,0.551,9.0,-8.613,1.0,0.198,0.113,0.266,0.482,110.243,142410.0,9.0
Aahe Neelasaila,Bhikhari Bala,odia bhajan,0.328,0.571,1.0,-6.913,1.0,0.0395,0.654,0.27,0.654,186.602,313748.0,1.0
Aaj Bhi,Vishal Mishra,desi pop,0.581,0.304,1.0,-9.707,0.0,0.0274,0.886,0.103,0.0973,109.006,241206.0,1.0
Aaj Bhi - WORMONO LoFi Remake,Vishal Mishra,desi pop,0.307,0.265,1.0,-14.701,0.0,0.0497,0.561,0.398,0.0569,94.115,217976.0,1.0
Aaja We Mahiya,Imran Khan,desi hip hop,0.639,0.594,10.0,-6.497,1.0,0.0347,0.131,0.119,0.378,80.034,232067.0,10.0
Aajkal Tere Mere Pyar Ke Charche,Suman Kalyanpur,classic bollywood,0.556,0.792,9.0,-10.683,1.0,0.0715,0.858,0.596,0.776,98.554,309493.0,9.0
Aankhein Khuli,Jatin-Lalit,afghan pop,0.792,0.635,7.0,-13.94,0.0,0.0863,0.349,0.324,0.648,122.004,422713.0,7.0
Aap Ki Kashish,Himesh Reshammiya,filmi,0.69,0.78,8.0,-7.412,0.0,0.0489,0.117,0.0696,0.718,110.963,333653.0,8.0
Aasan Nahin Yahan,Arijit Singh,filmi,0.549,0.437,10.0,-7.169,0.0,0.0263,0.766,0.133,0.236,93.976,214470.0,10.0
Aashayein,KK,filmi,0.561,0.709,9.0,-10.247,1.0,0.0484,0.232,0.0992,0.509,115.006,260142.0,9.0
Aashayein - Slow Version,KK,filmi,0.417,0.134,9.0,-12.096,1.0,0.0321,0.979,0.101,0.381,83.176,72292.0,9.0
Aashiqui 2 Mashup,Arijit Singh,filmi,0.616,0.757,8.0,-5.877,0.0,0.0337,0.393,0.165,0.538,96.976,302658.0,8.0
Aasman Ke,KK,filmi,0.558,0.746,7.0,-6.338,0.0,0.0389,0.0852,0.258,0.342,120.096,257280.0,7.0
Ab Mujhe Raat Din,Sonu Nigam,filmi,0.68,0.524,5.0,-12.536,1.0,0.0306,0.161,0.101,0.577,100.054,385253.0,5.0
Abhi Abhi,KK,filmi,0.566,0.634,2.0,-5.551,1.0,0.0443,0.145,0.0814,0.36,143.89,342669.0,2.0
Abhi Mujh Mein Kahin,Ajay-Atul,filmi,0.334,0.387,2.0,-9.483,1.0,0.0332,0.755,0.113,0.42,129.959,364787.0,2.0
Abhi Na Jao Chhod Kar,Asha Bhosle,chutney,0.569,0.31,3.0,-13.287,1.0,0.0371,0.79,0.341,0.587,97.244,258387.0,3.0
About Love - From The Netflix Film “To All The Boys: P.S. I Still Love You”,MARINA,metropopolis,0.636,0.758,0.0,-5.567,1.0,0.0427,0.331,0.16,0.281,97.025,214107.0,0.0
Actually I'm Good,Foreign Forest,emo rap,0.727,0.486,8.0,-8.364,1.0,0.0325,0.568,0.0889,0.362,118.038,252203.0,8.0
Addict,Lund,cloud rap,0.577,0.553,4.0,-7.648,0.0,0.0479,0.1,0.21,0.0546,145.974,174247.0,4.0
Adiyogi (The Source of Yoga),Kailash Kher,filmi,0.611,0.512,11.0,-12.533,0.0,0.0361,0.3,0.219,0.263,99.987,393220.0,11.0
Admiral Benbow,Michiel Schrey,shanty,0.516,0.482,7.0,-6.04,1.0,0.0421,0.579,0.307,0.368,170.178,113973.0,7.0
Adrenaline,Lauv,pop,0.651,0.688,6.0,-4.407,1.0,0.109,0.354,0.0741,0.616,95.017,206368.0,6.0
Adrift,Kurt Stewart,lo-fi study,0.587,0.0548,6.0,-22.15,0.0,0.0345,0.616,0.0999,0.233,109.905,124174.0,6.0
Adult,Sasha Alex Sloan,alt z,0.607,0.849,8.0,-6.389,1.0,0.0444,0.174,0.0964,0.487,89.988,184253.0,8.0
Affection,Fiji Blue,chill pop,0.827,0.49,10.0,-8.37,0.0,0.055,0.321,0.095,0.836,113.002,174211.0,10.0
Afghan Jalebi (Film Version),Pritam,filmi,0.84,0.884,0.0,-3.217,1.0,0.334,0.427,0.0885,0.972,118.007,224207.0,0.0
Afraid,The Neighbourhood,modern alternative rock,0.464,0.701,6.0,-5.693,0.0,0.0411,0.00892,0.335,0.356,83.996,251187.0,6.0
Afraid of Time,Hans Zimmer,german soundtrack,0.245,0.00336,9.0,-38.793,0.0,0.0451,0.92,0.119,0.0505,119.949,152673.0,9.0
Africa,TOTO,album rock,0.671,0.373,9.0,-18.064,1.0,0.0323,0.257,0.0481,0.732,92.718,295893.0,9.0
After All,Elton John,glam rock,0.501,0.556,5.0,-5.628,1.0,0.0266,0.361,0.115,0.165,82.017,208715.0,5.0
After Midnight,Slushii,brostep,0.418,0.965,10.0,-2.417,0.0,0.163,0.0477,0.561,0.28,139.759,178519.0,10.0
After Rain,Aimer,anime,0.653,0.783,10.0,-3.859,1.0,0.0298,0.00949,0.0791,0.636,119.992,292760.0,10.0
After the Love Has Gone,"Earth, Wind & Fire",disco,0.424,0.443,6.0,-13.45,1.0,0.0382,0.532,0.673,0.391,131.675,278040.0,6.0
Afterglow,Ed Sheeran,pop,0.641,0.324,11.0,-5.851,1.0,0.0299,0.698,0.328,0.273,110.184,185487.0,11.0
Afterglow,Leroy Sanchez,channel pop,0.659,0.273,11.0,-6.352,1.0,0.0285,0.823,0.121,0.292,110.171,186000.0,11.0
Afterlife,Ewan J Phillips,british singer-songwriter,0.342,0.279,1.0,-11.252,1.0,0.0376,0.521,0.157,0.235,71.766,227778.0,1.0
Again,Sasha Alex Sloan,alt z,0.62,0.553,2.0,-10.228,0.0,0.0517,0.778,0.0916,0.632,148.978,194375.0,2.0
Again & Again,Fly By Midnight,singer-songwriter pop,0.728,0.694,1.0,-5.634,1.0,0.0645,0.188,0.149,0.574,101.985,169412.0,1.0
Again to Goshintai,RADWIMPS,j-pop,0.2,0.318,5.0,-11.267,1.0,0.0449,0.925,0.114,0.0465,119.593,143253.0,5.0
Agar Tum Saath Ho,Alka Yagnik,filmi,0.654,0.408,3.0,-12.787,1.0,0.0695,0.743,0.278,0.424,95.957,261060.0,3.0
Agent Vinod (Theme),Pritam,filmi,0.658,0.852,0.0,-3.07,1.0,0.044,0.000223,0.101,0.409,140.024,277950.0,0.0
Air Bnb,Central Cee,melodic drill,0.897,0.728,0.0,-5.833,0.0,0.167,0.594,0.0735,0.678,139.895,138121.0,0.0
"Air, BWV 1068 - From Orchestral Suite No.3 In D Major",André Rieu,easy listening,0.157,0.378,2.0,-14.792,1.0,0.0389,0.674,0.136,0.144,141.592,301320.0,2.0
Airplanes (feat. Hayley Williams of Paramore),B.o.B,atl hip hop,0.66,0.867,6.0,-4.285,0.0,0.116,0.11,0.0368,0.377,93.033,180480.0,6.0
Ajab Si,KK,filmi,0.697,0.438,8.0,-8.411,1.0,0.0289,0.397,0.293,0.58,117.954,241668.0,8.0
Ajnabi Hawaayein,Shreya Ghoshal,filmi,0.557,0.58,6.0,-6.566,0.0,0.0429,0.589,0.124,0.453,80.051,281658.0,6.0
Akela Hoon,AMAN,indian lo-fi,0.508,0.0901,7.0,-22.456,1.0,0.0295,0.943,0.18,0.11,70.198,224601.0,7.0
Akhiyaan,Mitraz,desi pop,0.724,0.618,2.0,-9.007,1.0,0.0534,0.0533,0.0886,0.0683,100.021,191869.0,2.0
Alfred - Intro,Eminem,detroit hip hop,0.764,0.376,1.0,-12.586,1.0,0.571,0.887,0.375,0.884,97.546,17075.0,1.0
Alive,Audrey Mika,modern indie pop,0.591,0.335,9.0,-8.331,0.0,0.0339,0.601,0.0976,0.293,86.448,197224.0,9.0
Alive,Empire of the Sun,australian dance,0.524,0.885,5.0,-3.079,1.0,0.037,0.0997,0.0708,0.395,119.954,204591.0,5.0
Alive,Khalid,pop,0.386,0.406,11.0,-10.419,1.0,0.0425,0.832,0.171,0.205,78.616,177413.0,11.0
Alive,WILLIS,alabama indie,0.615,0.373,6.0,-11.54,0.0,0.026,0.125,0.184,0.481,87.97,155136.0,6.0
All 4 Nothing (I'm So In Love),Lauv,pop,0.72,0.819,1.0,-4.588,1.0,0.0362,0.0411,0.0606,0.898,131.99,183014.0,1.0
All About That Bass,Meghan Trainor,hip pop,0.807,0.887,9.0,-3.726,1.0,0.0503,0.0573,0.124,0.961,134.052,187920.0,9.0
All Alone,Sølace,lo-fi chill,0.601,0.556,7.0,-10.722,0.0,0.395,0.776,0.236,0.457,80.003,147000.0,7.0
All Around Me,Flyleaf,alternative metal,0.473,0.871,9.0,-4.893,1.0,0.0456,0.0216,0.0525,0.47,146.975,198507.0,9.0
All Around the World (La La La),R3HAB,dutch house,0.733,0.859,9.0,-5.03,0.0,0.033,0.479,0.105,0.52,124.948,147840.0,9.0
All Because of You,Stephen Day,pop soul,0.426,0.177,7.0,-13.334,1.0,0.0346,0.797,0.113,0.247,118.155,238280.0,7.0
All Black,Raftaar,desi hip hop,0.813,0.734,10.0,-5.464,0.0,0.0577,0.072,0.118,0.652,107.967,218146.0,10.0
All Eyes On Me,Conro,canadian electronic,0.761,0.644,7.0,-6.765,1.0,0.0409,0.0532,0.0838,0.444,111.993,199286.0,7.0
All Eyes On Me,VALORANT,video game music,0.732,0.777,0.0,-5.253,1.0,0.111,0.00202,0.268,0.536,160.061,160500.0,0.0
All Eyes On Me (Song Only),Bo Burnham,comic,0.247,0.442,6.0,-8.703,1.0,0.041,0.716,0.0655,0.261,62.952,212861.0,6.0
All I Ask of You (feat. Pennybirdrabbit),Skrillex,brostep,0.774,0.909,9.0,-2.89,0.0,0.0365,0.0173,0.0739,0.696,126.977,340341.0,9.0
All I Ever Wanted - Radio Edit,Basshunter,eurodance,0.645,0.984,4.0,-7.051,1.0,0.0508,0.164,0.164,0.553,144.954,176453.0,4.0
All I Have Is My Smile,LIL DUSTY G,emo rap,0.636,0.808,0.0,-3.288,1.0,0.0534,0.0699,0.153,0.508,75.013,99200.0,0.0
All I Know So Far,P!nk,dance pop,0.578,0.639,4.0,-5.749,1.0,0.0374,0.0586,0.0944,0.296,108.045,277413.0,4.0
All I Wanna Do,Jay Park,k-pop,0.403,0.724,8.0,-6.064,1.0,0.246,0.377,0.0927,0.428,97.133,216786.0,8.0
All I Want,Kodaline,irish pop,0.188,0.411,0.0,-9.733,1.0,0.0484,0.174,0.0843,0.159,187.376,305747.0,0.0
All In (feat. Jimmy Levy),NITTI,brostep,0.288,0.754,6.0,-3.376,0.0,0.0476,0.0938,0.238,0.311,174.095,234518.0,6.0
All Into Nothing,R3HAB,dutch house,0.571,0.763,9.0,-6.66,1.0,0.05,0.0421,0.394,0.21,99.955,161400.0,9.0
All Is Fair in Love and Brostep,Skrillex,brostep,0.581,0.925,11.0,-3.213,1.0,0.151,0.00112,0.406,0.269,139.982,249120.0,11.0
All Is Full Of Love,Björk,art pop,0.481,0.49,6.0,-10.098,1.0,0.0271,0.0536,0.0915,0.0378,152.04,287000.0,6.0
All Love,FLETCHER,alt z,0.665,0.488,4.0,-7.177,1.0,0.0981,0.272,0.181,0.477,142.087,193600.0,4.0
All My Life,ODESZA,chillwave,0.303,0.68,9.0,-5.318,1.0,0.0731,0.547,0.872,0.0397,118.581,192267.0,9.0
All Night - Cash Cash Remix; Radio Edit,Icona Pop,candy pop,0.591,0.864,4.0,-2.04,1.0,0.155,0.0386,0.139,0.302,128.073,206250.0,4.0
All Night - Slowed N Reverb,The Vamps,boy band,0.607,0.678,8.0,-7.045,0.0,0.0335,0.00527,0.332,0.433,115.968,244798.0,8.0
All Night Long,Jonas Blue,pop,0.572,0.811,6.0,-4.874,0.0,0.066,0.00887,0.124,0.332,125.946,206667.0,6.0
All The Things She Said,t.A.T.u.,dance pop,0.603,0.834,5.0,-5.766,0.0,0.0417,0.0411,0.105,0.376,89.957,214440.0,5.0
All This Time - Timmy Trumpet Remix,Deorro,dutch house,0.699,0.709,6.0,-6.316,0.0,0.0889,0.0976,0.0852,0.426,149.975,177718.0,6.0
All Time,Kurt Hugo Schneider,viral pop,0.303,0.393,0.0,-8.926,1.0,0.0458,0.777,0.106,0.396,180.23,200972.0,0.0
All Time Low,Jon Bellion,indie pop rap,0.617,0.567,0.0,-4.188,1.0,0.0828,0.0584,0.0933,0.505,90.246,217603.0,0.0
All Your Exes,Julia Michaels,pop,0.603,0.618,1.0,-5.184,1.0,0.0319,0.0232,0.118,0.323,112.114,209276.0,1.0
All for Me,Hoodie Allen,indie pop rap,0.74,0.7,4.0,-7.066,0.0,0.165,0.126,0.208,0.377,89.971,224049.0,4.0
All for Me Grog,Linda Morrison,shanty,0.765,0.524,11.0,-5.821,0.0,0.101,0.755,0.239,0.551,114.697,126453.0,11.0
All of Me,John Legend,neo soul,0.422,0.264,8.0,-7.064,1.0,0.0322,0.922,0.132,0.331,119.93,269560.0,8.0
All of the Stars,Ed Sheeran,pop,0.54,0.557,11.0,-6.097,1.0,0.0259,0.00886,0.307,0.287,75.035,237147.0,11.0
Allah Hafiz,Pritam,filmi,0.683,0.975,7.0,-3.48,1.0,0.068,0.0719,0.325,0.745,103.026,270470.0,7.0
